Match,Team name,Player number,Shot outcome,X-coordinate,Y-coordinate,Goal_X,Goal_Y
868713,a,77,shot_offtarget,26.27,19.8,-1,-1
868713,b,72,shot_offtarget,79.75,73.15,-1,-1
868713,b,90,shot_saved,89.72,35.65,-1,-1
868713,b,18,shot_offtarget,63.45,33.85,-1,-1
868713,b,16,shot_blocked,72.65,33.55,-1,-1
868713,a,18,shot_blocked,26.57,64.95,-1,-1
868713,b,8,shot_blocked,64.8,44.9,-1,-1
868713,a,9,shot_saved,21.45,38.4,-1,-1
868713,a,18,shot_saved,38.83,25.55,-1,-1
868713,b,88,shot_goal,89.65,45.8,20.0,15.0
868713,b,93,shot_offtarget,56.13,43.95,-1,-1
868713,a,77,shot_saved,47.73,50.45,-1,-1
868713,b,88,shot_blocked,77.13,81.6,-1,-1
868713,a,9,shot_saved,9.68,46.1,-1,-1
868713,a,79,shot_offtarget,18.13,68.6,-1,-1
868713,b,16,shot_saved,82.03,73.45,-1,-1
868713,a,9,shot_blocked,26.9,51.7,-1,-1
868713,a,87,shot_blocked,21.15,73.3,-1,-1
868713,b,72,shot_blocked,70.1,19.35,-1,-1
868713,b,90,shot_offtarget,84.0,42.3,-1,-1
868713,a,18,shot_offtarget,45.93,23.9,-1,-1
868713,b,88,shot_offtarget,88.53,69.2,-1,-1
868713,b,90,shot_offtarget,78.55,63.75,-1,-1
868713,b,15,shot_goal,92.22,40.2,1.0,49.0
868713,a,77,shot_blocked,36.55,37.2,-1,-1
868713,a,87,shot_offtarget,39.58,31.0,-1,-1
868713,b,38,shot_saved,77.88,24.95,-1,-1
868713,b,18,shot_blocked,83.08,77.35,-1,-1
868713,a,77,shot_offtarget,42.3,12.85,-1,-1
868713,b,19,shot_offtarget,66.17,82.8,-1,-1
868713,b,93,shot_blocked,68.05,48.8,-1,-1
868713,b,93,shot_saved,88.53,63.3,-1,-1
868713,a,18,shot_goal,42.3,11.2,4.0,3.5
868713,b,19,shot_saved,86.4,84.6,-1,-1
868713,b,70,shot_saved,79.38,45.35,-1,-1
868713,a,71,shot_blocked,32.78,46.4,-1,-1
868713,b,88,shot_goal,89.5,58.0,54.0,5.5
868713,b,93,shot_saved,89.2,50.15,-1,-1
